file,label,verdict,score,correct,flags,warnings
digital_bill.pdf,GENUINE,FAIL,6,False,CRITICAL — teal_header: teal=0.4% — ✗ teal header missing; CRITICAL — ke_green_logo: green=0.5% in logo zone — ✗ KE logo color missing,WARNING — right_panel_header: green=0.3% in right header — ✗ right panel header missing; WARNING — light_blue_sections: light_blue=0.0% — ✗ expected section colors missing; WARNING — amount_payable_box: amount box color=0.0% — ✗ Amount Payable highlighted box missing
ke_bill_paid.jpeg,GENUINE,FAIL,41,False,CRITICAL — teal_header: teal=0.0% — ✗ teal header missing,WARNING — light_blue_sections: light_blue=0.5% — ✗ expected section colors missing; WARNING — amount_payable_box: amount box color=0.1% — ✗ Amount Payable highlighted box missing; WARNING — qr_code_zone: QR zone contrast=34 — ✗ QR code zone appears missing
